Temperature,Humidity,AtmosphericPressure,WindSpeed,CloudCover,RainToday,RainTomorrow
7.4,72,1019.6,15,6,Yes,No
8,68,1016.8,15,6,No,No
6.9,85,1010.5,35,7,No,Yes
7.1,66,1018.2,31,3,Yes,No
9.9,54,1022.7,7,7,No,No
10.7,69,1021.9,15,7,No,No
15.9,51,1019,22,1,No,No
13.3,46,1020.1,17,7,No,No
12.1,62,1020.8,9,7,No,No
11,55,1013.9,24,3,No,No
8.2,73,1009.4,33,5,No,Yes
10.7,48,1014.9,22,3,Yes,No
8.7,87,1009,6,8,No,Yes
11.2,56,1010.3,31,3,Yes,No
11,33,1025.8,28,1,No,No
10.1,48,1031.1,11,5,No,No
10.8,51,1027.4,13,5,No,No
12.3,25,1020.9,13,1,No,No
10.9,50,1015.3,19,7,No,No
7.8,66,1010,13,7,No,Yes
9.6,56,1014.9,37,4,Yes,No
11.2,49,1016.8,22,1,No,No
11.5,48,1014.6,15,1,No,No
12.8,38,1012.9,26,7,No,No
8.6,82,1001.3,28,7,No,Yes
10.5,56,1014.9,31,1,Yes,No
11.6,48,1018.1,24,1,No,No
9.1,60,1018.3,19,7,No,No
7.2,72,1019.2,26,8,No,Yes
13.6,48,1017.6,22,1,Yes,No
5.7,78,1015.9,26,7,No,Yes
11.3,62,1019.1,30,2,Yes,No
8.1,70,1019,24,6,No,No
5.1,68,1012.6,24,6,No,No
8.3,60,1016.6,30,1,No,No
8.6,63,1020.1,24,6,No,No
10.4,41,1022.4,30,1,No,No
9.5,45,1018.2,39,1,No,No
12,51,1012.4,33,3,No,No
13.5,27,1011.8,28,1,No,No
10.8,35,1022,17,1,No,No
11.2,30,1021.8,30,7,No,No
12.2,47,1025.6,20,6,No,No
12.4,36,1024.4,24,7,No,No
13.2,27,1017.8,30,8,No,No
10.7,44,1016.8,26,5,No,No
11.1,38,1025.5,17,1,No,No
14,28,1028,11,0,No,No
12.8,34,1024.4,19,6,No,No
15.8,23,1020.3,26,7,No,No
14.4,23,1025.5,13,1,No,No
12.3,43,1025.9,15,5,No,No
14.6,45,1022.9,20,6,No,No
15.4,45,1017.5,6,8,No,Yes
12.6,85,1010.4,15,7,Yes,Yes
14.3,34,1021.7,28,1,Yes,No
14.9,44,1024.8,13,4,No,No
11.1,51,1033.2,20,5,No,No
10.2,61,1031.9,17,7,No,No
10.8,73,1023.5,13,8,No,No
15.7,33,1016.2,24,7,No,No
15.5,33,1013.9,22,7,No,No
15.3,37,1018.2,11,1,No,No
13.4,25,1020.9,22,0,No,No
14.9,35,1017.9,20,2,No,No
16.3,20,1013.9,20,1,No,No
21.5,27,1010.9,26,5,No,No
25.1,31,1011.4,26,1,No,Yes
18.2,43,1006,30,1,Yes,Yes
18.5,33,1001.5,52,6,Yes,Yes
12.2,33,1017.6,31,1,Yes,No
13.7,43,1022.1,7,1,No,No
17.8,36,1015.6,28,1,No,No
22.4,30,1011.7,28,1,No,No
21.3,15,1010.9,41,0,No,No
18.3,25,1015.1,33,0,No,No
21,50,1006.5,20,8,No,Yes
14.3,44,1017.8,22,1,Yes,No
16.5,33,1027.7,6,1,No,No
18.1,32,1026.9,13,1,No,No
20,35,1020.6,26,6,No,No
24.7,25,1016.4,24,1,No,No
23,25,1009.9,30,1,No,No
16,32,1013.9,22,7,No,No
16.3,34,1017,28,1,No,No
19.5,16,1015.4,30,1,No,No
26.7,21,1014.1,28,0,No,No
28.4,22,1011.8,41,1,No,Yes
19.3,65,1013.2,19,4,Yes,Yes
19.8,46,1013.6,19,1,Yes,No
16.2,40,1005.3,33,4,No,Yes
14.6,45,1013.3,28,1,Yes,No
16.6,33,1017.5,26,1,No,No
18.8,22,1024.2,9,1,No,No
21.4,25,1024.9,19,2,No,No
20.6,30,1023.8,17,3,No,No
22.3,27,1021.5,11,4,No,No
23.2,47,1016,33,7,No,Yes
19.4,61,1016.7,24,3,Yes,No
18.4,42,1019.7,7,4,No,No
19.2,30,1022.3,9,1,No,No
21.9,34,1020.7,26,1,No,No
23.7,31,1022.2,20,7,No,No
27.4,30,1019.8,26,6,No,No
26.3,20,1017.5,31,1,No,No
18.5,28,1018.6,11,5,No,No
14.3,24,1023.1,37,5,No,No
16.3,25,1022.8,15,2,No,No
19.1,29,1018.4,17,8,No,No
24.8,16,1014.6,19,3,No,No
25.9,20,1014.2,19,8,No,No
30,15,1010.8,50,3,No,No
28.2,22,1016.9,19,1,No,No
18.3,47,1022.8,9,2,No,No
25.9,39,1016.2,28,7,No,No
28.6,13,1009.2,35,1,No,No
